"vb","value","date"
"PM1",0,1962-07-31
"TM1",23.5,1962-08-31
"TM2",16.8,1962-08-31
"TM3",30.3,1962-08-31
"TM4",14.4,1962-08-31
"PM1",0,1962-08-31
"TM1",21.5,1962-09-30
"TM2",15.3,1962-09-30
"TM3",27.7,1962-09-30
"TM4",8.4,1962-09-30
"PM1",6.3,1962-09-30
"TM1",17,1962-10-31
"TM2",12.7,1962-10-31
"TM3",21.3,1962-10-31
"TM4",7.6,1962-10-31
"PM1",150.2,1962-10-31
"TM1",9.6,1962-11-30
"TM2",5.1,1962-11-30
"TM3",14.1,1962-11-30
"TM4",-1,1962-11-30
"PM1",65.7,1962-11-30
"TM1",8.5,1962-12-31
"TM2",4.1,1962-12-31
"TM3",12.8,1962-12-31
"TM4",-0.6,1962-12-31
"PM1",146,1962-12-31
"TM1",8.6,1963-01-31
"TM2",5,1963-01-31
